Date,AAPL,MSFT,AMZN,GOOGL
2022-10-31,152.23512268066406,229.44320678710938,102.44000244140625,94.51000213623047
2022-11-01,149.56451416015625,225.52903747558594,96.79000091552734,90.47000122070312
2022-11-02,143.98500061035156,217.55245971679688,92.12000274658203,86.97000122070312
2022-11-03,137.8793182373047,211.77017211914062,89.30000305175781,83.43000030517578
2022-11-04,137.61082458496094,218.8275146484375,90.9800033569336,86.58000183105469
2022-11-07,138.14781188964844,225.23251342773438,90.52999877929688,88.48999786376953
2022-11-08,138.72459411621094,226.22093200683594,89.9800033569336,88.9000015258789
2022-11-09,134.12033081054688,221.9114227294922,86.13999938964844,87.31999969482422
2022-11-10,146.05361938476562,240.16761779785156,96.62999725341797,93.94000244140625
2022-11-11,148.86790466308594,244.2498016357422,100.79000091552734,96.41000366210938
2022-11-14,147.45578002929688,238.75416564941406,98.48999786376953,95.69999694824219
2022-11-15,149.2060089111328,239.16932678222656,98.94000244140625,98.44000244140625
2022-11-16,147.9629364013672,239.60543823242188,97.12000274658203,98.8499984741211
2022-11-17,149.88223266601562,239.55587768554688,94.8499984741211,98.36000061035156
2022-11-18,150.4490509033203,239.09991455078125,94.13999938964844,97.43000030517578
2022-11-21,147.18728637695312,239.92262268066406,92.45999908447266,95.5999984741211
2022-11-22,149.34523010253906,242.8764190673828,93.19999694824219,97.05000305175781
2022-11-23,150.2303009033203,245.40403747558594,94.12999725341797,98.45999908447266
2022-11-25,147.2867431640625,245.3148193359375,93.41000366210938,97.45999908447266
2022-11-28,143.41835021972656,239.6351776123047,93.94999694824219,96.05000305175781
2022-11-29,140.3853302001953,238.21774291992188,92.41999816894531,95.19000244140625
2022-11-30,147.20718383789062,252.89756774902344,96.54000091552734,100.98999786376953
2022-12-01,147.4856414794922,252.4515380859375,95.5,100.98999786376953
2022-12-02,146.98841857910156,252.7786407470703,94.12999725341797,100.44000244140625
2022-12-05,145.81495666503906,248.00100708007812,91.01000213623047,99.4800033569336
2022-12-06,142.11566162109375,242.96563720703125,88.25,96.9800033569336
2022-12-07,140.15660095214844,242.22222900390625,88.45999908447266,94.94000244140625
2022-12-08,141.85707092285156,245.22561645507812,90.3499984741211,93.70999908447266
2022-12-09,141.36981201171875,243.26300048828125,89.08999633789062,92.83000183105469
2022-12-12,143.68685913085938,250.29067993164062,90.55000305175781,93.30999755859375
2022-12-13,144.6614227294922,254.6619415283203,92.48999786376953,95.62999725341797
2022-12-14,142.4139862060547,254.9593048095703,91.58000183105469,95.06999969482422
2022-12-15,135.7412567138672,246.8214569091797,88.44999694824219,90.86000061035156
2022-12-16,133.76231384277344,242.53941345214844,87.86000061035156,90.26000213623047
2022-12-19,131.63421630859375,238.33670043945312,84.91999816894531,88.44000244140625
2022-12-20,131.56460571289062,239.67481994628906,85.19000244140625,89.0199966430664
2022-12-21,134.6970977783203,242.28170776367188,86.7699966430664,89.58000183105469
2022-12-22,131.4949951171875,236.09654235839844,83.79000091552734,87.76000213623047
2022-12-23,131.12705993652344,236.63182067871094,85.25,89.2300033569336
2022-12-27,129.30723571777344,234.8773651123047,83.04000091552734,87.38999938964844
2022-12-28,125.33940887451172,232.46871948242188,81.81999969482422,86.0199966430664
2022-12-29,128.8895721435547,238.89175415039062,84.18000030517578,88.44999694824219
